,Image Name,Prediction
411,WWNP-HQ_20190219_191659.wav at 2.79199.png,2
412,WWNP-HQ_20190219_184700.wav at 3.459251.png,2
413,WWNP-HQ_20190219_183456.wav at 8.555981.png,2
414,WWNP-HQ_20190219_202649.wav at 4.442889.png,2
415,WWNP-HQ_20190219_202455.wav at 2.87384.png,1
416,WWNP-HQ_20190218_222404.wav at 7.635838000000001.png,2
417,WWNP-HQ_20190219_200726.wav at 5.415994.png,2
418,WWNP-HQ_20190219_224025.wav at 10.086277.png,1
419,WWNP-HQ_20190219_191659.wav at 1.159977.png,1
420,WWNP-HQ_20190219_202649.wav at 1.7803400000000003.png,1
421,WWNP-HQ_20190219_183456.wav at 11.786775.png,2
422,WWNP-HQ_20190219_191227.wav at 4.962171.png,2
423,WWNP-HQ_20190219_183728.wav at 6.636067.png,1
424,WWNP-HQ_20190219_191207.wav at 4.451783.png,0
425,WWNP-HQ_20190219_203055.wav at 3.254305.png,1
426,WWNP-HQ_20190219_210726.wav at 2.575663.png,1
427,WWNP-HQ_20190219_191659.wav at 1.671731.png,1
428,WWNP-HQ_20190219_210906.wav at 5.086911.png,0
429,WWNP-HQ_20190219_224458.wav at 9.678535.png,2
430,WWNP-HQ_20190219_221714.wav at 3.6422269999999997.png,2
431,WWNP-HQ_20190219_183456.wav at 10.461279.png,2
432,WWNP-HQ_20190219_191408.wav at 6.434374.png,2
433,WWNP-HQ_20190219_183456.wav at 8.130718.png,2
434,WWNP-HQ_20190219_212516.wav at 4.979462.png,0
